Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","8","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","49.863","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.7","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.35","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","44361.15","X","International reliable sources",""
"OA","Annual population","9","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","21631.673","X","International reliable sources",""
"OA","Annual population","9","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","22729.477","X","International reliable sources",""
"OA","Annual population","9","Argentina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3632.997","X","International reliable sources",""
"OA","Annual population","9","Argentina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","41055.867","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","1","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2951.745","X","International reliable sources",""
"OA","Annual population","1","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1388.6","X","International reliable sources",""
"OA","Annual population","1","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1563.141","X","International reliable sources",""
"OA","Annual population","1","Armenia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1081.275","X","International reliable sources",""
"OA","Annual population","1","Armenia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1852.877","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","105.845","X","International reliable sources",""
"OA","Annual population","22","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","50.244","X","International reliable sources",""
"OA","Annual population","22","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.602","X","International reliable sources",""
"OA","Annual population","22","Aruba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","59.798","X","International reliable sources",""
"OA","Annual population","22","Aruba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","45.872","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","24898.152","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","12399.374","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","12498.779","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3465.207","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","21307.04","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8891.388","X","International reliable sources",""
"OA","Annual population","11","Austria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","4371.944","X","International reliable sources",""
"OA","Annual population","11","Austria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","4519.439","X","International reliable sources",""
"OA","Annual population","11","Austria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3649.748","X","International reliable sources",""
"OA","Annual population","11","Austria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5102.072","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","52","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9949.537","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","4963.252","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","4986.285","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","4398.268","X","International reliable sources",""
"OA","Annual population","52","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5525.646","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","385.637","X","International reliable sources",""
"OA","Annual population","12","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","187.322","X","International reliable sources",""
"OA","Annual population","12","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","198.313","X","International reliable sources",""
"OA","Annual population","12","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","67.779","X","International reliable sources",""
"OA","Annual population","12","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","331.506","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","13","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1569.446","X","International reliable sources",""
"OA","Annual population","13","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","998.976","X","International reliable sources",""
"OA","Annual population","13","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","570.464","X","International reliable sources",""
"OA","Annual population","13","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","167.867","X","International reliable sources",""
"OA","Annual population","13","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1399.126","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","161376.708","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","81677.117","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","79699.596","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","105423.904","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","60944.245","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","286.641","X","International reliable sources",""
"OA","Annual population","14","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","138.525","X","International reliable sources",""
"OA","Annual population","14","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","148.115","X","International reliable sources",""
"OA","Annual population","14","Barbados","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","197.187","X","International reliable sources",""
"OA","Annual population","14","Barbados","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","89.201","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","57","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9452.617","X","International reliable sources",""
"OA","Annual population","57","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","4399.62","X","International reliable sources",""
"OA","Annual population","57","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5052.995","X","International reliable sources",""
"OA","Annual population","57","Belarus","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","2023.242","X","International reliable sources",""
"OA","Annual population","57","Belarus","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7428.871","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","255","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11482.178","X","International reliable sources",""
"OA","Annual population","255","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5672.964","X","International reliable sources",""
"OA","Annual population","255","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5809.216","X","International reliable sources",""
"OA","Annual population","255","Belgium","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","229.844","X","International reliable sources",""
"OA","Annual population","255","Belgium","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","11268.675","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","383.071","X","International reliable sources",""
"OA","Annual population","23","Belize","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","190.798","X","International reliable sources",""
"OA","Annual population","23","Belize","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","192.273","X","International reliable sources",""
"OA","Annual population","23","Belize","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","207.573","X","International reliable sources",""
"OA","Annual population","23","Belize","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","174.871","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","53","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11485.044","X","International reliable sources",""
"OA","Annual population","53","Benin","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5731.239","X","International reliable sources",""
"OA","Annual population","53","Benin","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5753.796","X","International reliable sources",""
"OA","Annual population","53","Benin","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6051.546","X","International reliable sources",""
"OA","Annual population","53","Benin","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5434.128","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.756","X","International reliable sources",""
"OA","Annual population","17","Bermuda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","61.07","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","18","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","754.388","X","International reliable sources",""
"OA","Annual population","18","Bhutan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","399.81","X","International reliable sources",""
"OA","Annual population","18","Bhutan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","354.586","X","International reliable sources",""
"OA","Annual population","18","Bhutan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","482.916","X","International reliable sources",""
"OA","Annual population","18","Bhutan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","334.138","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11353.142","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5701.161","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5651.979","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3429.186","X","International reliable sources",""
"OA","Annual population","19","Bolivia (Plurinational State of)","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","7786.488","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.711","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6.452","X","International reliable sources",""
"OA","Annual population","278","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","19.25","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","3323.925","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1628.375","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1695.554","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1813.259","X","International reliable sources",""
"OA","Annual population","80","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1690.295","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","20","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2254.068","X","International reliable sources",""
"OA","Annual population","20","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","1088.021","X","International reliable sources",""
"OA","Annual population","20","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","1166.046","X","International reliable sources",""
"OA","Annual population","20","Botswana","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","712.875","X","International reliable sources",""
"OA","Annual population","20","Botswana","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1620.326","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","209469.323","X","International reliable sources",""
"OA","Annual population","21","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","102996.239","X","International reliable sources",""
"OA","Annual population","21","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","106473.081","X","International reliable sources",""
"OA","Annual population","21","Brazil","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","28321.495","X","International reliable sources",""
"OA","Annual population","21","Brazil","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","182546.459","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","239","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","29.802","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","16.582","X","International reliable sources",""
"OA","Annual population","239","British Virgin Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","15.137","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","26","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","428.963","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","222.904","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","206.056","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","97.106","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","336.97","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","27","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","7051.608","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","3426.089","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","3625.521","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1758.643","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5278.205","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","233","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","19751.466","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","9856.874","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","9894.592","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","13952.881","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","5798.77","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","29","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11175.374","X","International reliable sources",""
"OA","Annual population","29","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5540.53","X","International reliable sources",""
"OA","Annual population","29","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5634.849","X","International reliable sources",""
"OA","Annual population","29","Burundi","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","9754.746","X","International reliable sources",""
"OA","Annual population","29","Burundi","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","1461.704","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","35","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","543.767","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","272.866","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","270.898","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","189.62","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","363.715","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","16249.792","X","International reliable sources",""
"OA","Annual population","115","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","7930.228","X","International reliable sources",""
"OA","Annual population","115","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","8319.567","X","International reliable sources",""
"OA","Annual population","115","Cambodia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","12446.208","X","International reliable sources",""
"OA","Annual population","115","Cambodia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3799.521","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","32","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25216.267","X","International reliable sources",""
"OA","Annual population","32","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","12607.251","X","International reliable sources",""
"OA","Annual population","32","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","12609.01","X","International reliable sources",""
"OA","Annual population","32","Cameroon","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","10766.102","X","International reliable sources",""
"OA","Annual population","32","Cameroon","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","13912.132","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","33","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37074.562","X","International reliable sources",""
"OA","Annual population","33","Canada","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","18392.121","X","International reliable sources",""
"OA","Annual population","33","Canada","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","18682.437","X","International reliable sources",""
"OA","Annual population","33","Canada","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","6869.269","X","International reliable sources",""
"OA","Annual population","33","Canada","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","30084.496","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","36","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","64.174","X","International reliable sources",""
"OA","Annual population","36","Cayman Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","36","Cayman Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.348","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
